company_key,Company Name,Company Website,Company LinkedIn,Company Industry,Company Country,lead_count
sware.com,Sware,sware.com,https://www.linkedin.com/company/sware-by,software development,United States,1
marketingevolution.com,Marketing Evolution,marketingevolution.com,https://www.linkedin.com/company/marketing-evolution,advertising services,United States,2
skopenow.com,Skopenow,skopenow.com,https://www.linkedin.com/company/skopenow,software development,United States,2
pros.com,PROS,pros.com,https://www.linkedin.com/company/pros,software development,United States,2
almstead.com,"Almstead Tree, Shrub & Lawn Care Company",almstead.com,https://www.linkedin.com/company/almstead-tree-and-shrub-care-co.,environmental services,United States,1
phaidra.ai,Phaidra,phaidra.ai,https://www.linkedin.com/company/phaidra-ai,software development,United States,1
dorsia.com,Dorsia,dorsia.com,https://www.linkedin.com/company/dorsiaapp,software development,United States,1
walbecgroup.com,Walbec Group,walbecgroup.com,https://www.linkedin.com/company/walbec-group,construction,United States,1
selerix.com,"Selerix Systems, Inc",selerix.com,https://www.linkedin.com/company/selerix-systems-inc,software development,United States,2
concord.net,Concord Technologies,concord.net,https://www.linkedin.com/company/concordtechusa,software development,United States,1
healthmarkets.com,"HealthMarkets, Inc.",healthmarkets.com,https://www.linkedin.com/company/healthmarkets,insurance,United States,1
rapidfort.com,RAPIDFORT,rapidfort.com,https://www.linkedin.com/company/rapidfort,computer and network security,United States,1
banyantechnology.com,Banyan Technology,banyantechnology.com,https://www.linkedin.com/company/banyan-technology,truck transportation,United States,1
nerdwallet.com,NerdWallet,nerdwallet.com,https://www.linkedin.com/company/nerdwallet,consumer services,United States,1
m12.vc,"M12, Microsoft's Venture Fund",m12.vc,https://www.linkedin.com/company/m12vc,venture capital and private equity principals,United States,1
ketryx.com,Ketryx,ketryx.com,https://www.linkedin.com/company/ketryx,software development,United States,1
rms.com,RMS,rms.com,https://www.linkedin.com/company/rms,software development,United States,1
derq.com,Derq,derq.com,https://www.linkedin.com/company/derq,software development,United States,1
consultaegis.com,Aegis Project Controls,consultaegis.com,https://www.linkedin.com/company/consultaegis,construction,United States,1
secura.net,SECURA Insurance,secura.net,https://www.linkedin.com/company/secura-insurance,insurance,United States,2
coastalpayroll.com,Coastal Payroll,coastalpayroll.com,https://www.linkedin.com/company/coastal-payroll-services,financial services,United States,1
drakesoftware.com,Drake Software,drakesoftware.com,https://www.linkedin.com/company/drake-software,software development,United States,1
alcatraz.ai,Alcatraz,alcatraz.ai,https://www.linkedin.com/company/alcatraz,software development,United States,1
cargosprint.com,CargoSprint,cargosprint.com,https://www.linkedin.com/company/cargosprint,software development,United States,1
particle.io,Particle,particle.io,https://www.linkedin.com/company/wwwparticleio,telecommunications,United States,1
foundationsoft.com,Foundation Software,foundationsoft.com,https://www.linkedin.com/company/foundation-software,software development,United States,1
perfect-vision.com,PerfectVision,perfect-vision.com,https://www.linkedin.com/company/pvbettersolutions,telecommunications,United States,2
baystatemilling.com,Bay State Milling Company,baystatemilling.com,https://www.linkedin.com/company/bay-state-milling-company,food and beverage manufacturing,United States,1
choosebroadspire.com,Broadspire,choosebroadspire.com,https://www.linkedin.com/company/broadspire,insurance,United States,1
middesk.com,Middesk,middesk.com,https://www.linkedin.com/company/middesk,software development,United States,2
grandstream.com,Grandstream Networks,grandstream.com,https://www.linkedin.com/company/grandstream-networks,telecommunications,United States,1
bea.com,BEA Systems,bea.com,https://www.linkedin.com/company/bea-systems,software development,United States,8
navina.ai,Navina,navina.ai,https://www.linkedin.com/company/navina-ai,hospitals and health care,United States,1
ceridian.com,Ceridian,ceridian.com,https://www.linkedin.com/company/ceridian,software development,United States,2
thoropass.com,Thoropass,thoropass.com,https://www.linkedin.com/company/thoropass,software development,United States,1
trynorthpoint.com,"Northpoint Mortgage, Inc.",trynorthpoint.com,https://www.linkedin.com/company/trynorthpoint,financial services,United States,1
sagewater.com,SageWater,sagewater.com,https://www.linkedin.com/company/sagewater,construction,United States,2
remotepass.com,RemotePass,remotepass.com,https://www.linkedin.com/company/remotepass,financial services,United States,1
hubsync.com,HubSync,hubsync.com,https://www.linkedin.com/company/hubsync,software development,United States,1
nevadanano.com,NevadaNano,nevadanano.com,https://www.linkedin.com/company/nevada-nanotech-systems-inc,environmental services,United States,1
stanford.edu,Stanford University Graduate School of Education,stanford.edu,https://www.linkedin.com/school/stanfordeducation,higher education,United States,1
betterup.com,BetterUp,betterup.com,https://www.linkedin.com/company/betterup,professional training and coaching,United States,1
reachlink.com,ReachLink,reachlink.com,https://www.linkedin.com/company/reachlinkusa,mental health care,United States,1
sc.edu,Darla Moore School of Business at the University of South Carolina,sc.edu,https://www.linkedin.com/school/university-of-south-carolina---darla-moore-school-of-business,higher education,United States,1
trabongroup.com,Trabon Group,trabongroup.com,https://www.linkedin.com/company/trabon,printing services,United States,5
billtrust.com,Billtrust,billtrust.com,https://www.linkedin.com/company/billtrust,financial services,United States,1
zocks.io,Zocks | AI for Advisors,zocks.io,https://www.linkedin.com/company/zocks,software development,United States,1
rapidcanvas.ai,RapidCanvas,rapidcanvas.ai,https://www.linkedin.com/company/rapidcanvas,software development,United States,1
aitworldwide.com,AIT Worldwide Logistics,aitworldwide.com,https://www.linkedin.com/company/ait-worldwide-logistics,truck transportation,United States,1
iriworldwide.com,IRI,iriworldwide.com,https://www.linkedin.com/company/iri-,market research,United States,1
mylighthouse.com,Lighthouse,mylighthouse.com,https://www.linkedin.com/company/lighthouseintelligence,hospitality,United States,3
altia.com,Altia,altia.com,https://www.linkedin.com/company/altia-inc,software development,United States,2
openprisetech.com,Openprise,openprisetech.com,https://www.linkedin.com/company/openprise,software development,United States,1
guardanthealth.com,Guardant Health,guardanthealth.com,https://www.linkedin.com/company/guardanthealth,biotechnology research,United States,3
paycor.com,Paycor,paycor.com,https://www.linkedin.com/company/paycor,software development,United States,1
maelyscosmetics.com,MAËLYS,maelyscosmetics.com,https://www.linkedin.com/company/maelyscosmetics,personal care product manufacturing,United States,1
enfrasolutions.com,ENFRA,enfrasolutions.com,https://www.linkedin.com/company/enfrasolutions,utilities,United States,2
getflex.com,Flex,getflex.com,https://www.linkedin.com/company/getflex,financial services,United States,1
lgima.com,"L&G – Asset Management, America",lgima.com,https://www.linkedin.com/company/legal-and-general-asset-management-america,financial services,United States,1
stateandliberty.com,State and Liberty Clothing Co.,stateandliberty.com,https://www.linkedin.com/company/state-and-liberty-clothing-co-,retail apparel and fashion,United States,1
ridecomoto.com,Comoto Family of Brands,ridecomoto.com,https://www.linkedin.com/company/comoto-family-of-brands,retail,United States,2
manychat.com,Manychat,manychat.com,https://www.linkedin.com/company/manychat,software development,United States,8
milhaus.com,Milhaus,milhaus.com,https://www.linkedin.com/company/milhaus,real estate,United States,1
shoptalk.com,Shoptalk,shoptalk.com,https://www.linkedin.com/company/shoptalk,events services,United States,2
fleetfeet.com,Fleet Feet,fleetfeet.com,https://www.linkedin.com/company/fleet-feet-incorporated,retail,United States,4
jfrog.com,JFrog,jfrog.com,https://www.linkedin.com/company/jfrog-ltd,software development,United States,3
